Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
   45    11.9    23.3     3.9    0.00    0.00    0.00    0.00    0.18    2.59    2.56    0.02  245.53   1.693   1.000   1.000
   48     8.8    17.8     9.4    0.00    0.00    0.00    0.00    2.27    1.87    1.85    0.02  265.08   1.828   1.000   1.000
   51     5.8    19.4    11.1    0.00    0.00    0.00    0.00    0.96    1.28    1.27    0.01  253.88   1.751   1.000   1.000
   54    15.2    20.6    10.0    0.00    0.00    0.00    0.00    5.72    3.37    3.34    0.03  294.60   2.032   1.000   1.000
   57     8.0    21.7    12.2    0.00    0.00    0.00    0.00    3.61    1.83    1.82    0.02  277.19   1.912   1.000   1.000
   60    16.5    27.2    12.8   44.70    0.00    0.05   44.65    1.81    4.06    4.03    0.04  303.36   2.092   1.000   1.000
   63    19.6    23.9    10.0    0.00    0.00    0.00    0.00    4.07    4.53    4.49    0.04  278.57   1.921   1.000   1.000
   66     1.9    19.4    12.2   30.20    0.00    0.00   30.20    2.05    0.42    0.42    0.00  294.77   2.033   1.000   1.000
   69    19.2    24.4    10.6    0.00    0.00    0.00    0.00    3.79    4.49    4.45    0.04  276.12   1.904   1.000   1.000
   72    21.5    15.0     3.3    0.00    0.00    0.00    0.00    1.94    4.13    4.09    0.04  259.86   1.792   1.000   1.000
   75    21.0    25.6     7.8    0.00    0.00    0.00    0.00    0.25    4.87    4.82    0.04  243.85   1.682   1.000   1.000
   78    19.2    26.7    16.7    3.00    0.00    0.00    3.00    0.00    4.85    4.54    0.04  236.17   1.629   1.000   1.000
   81    17.1    27.8    10.0    0.00    0.00    0.00    0.00    0.00    4.15    3.63    0.04  224.37   1.547   1.000   1.000
   84    10.4    28.3    20.0    0.00    0.00    0.00    0.00    0.00    2.74    2.24    0.02  216.03   1.490   1.000   1.000
   87     7.9    27.2    18.9   83.30    0.00    6.98   76.32    0.00    2.04    1.93    0.02  313.55   2.162   1.000   1.000
   90    17.3    17.8     6.7   14.20    0.00    0.00   14.20   10.71    3.58    3.55    0.03  353.47   2.438   1.000   1.000
   93    13.0    22.8     5.0    4.60    0.00    0.00    4.60    7.73    2.84    2.81    0.03  317.80   2.192   1.000   1.000
   96    24.8    21.7     2.2    0.00    0.00    0.00    0.00    4.87    5.20    5.15    0.05  285.12   1.966   1.000   1.000
   99    20.0    25.0     8.3    0.00    0.00    0.00    0.00    2.18    4.62    4.58    0.04  261.51   1.804   1.000   1.000
  102    25.5    27.8    10.6    0.00    0.00    0.00    0.00    0.16    6.22    6.16    0.06  241.75   1.667   1.000   1.000
  105    20.0    27.2    18.9    5.80    0.00    0.00    5.80    0.00    5.16    4.68    0.05  233.88   1.613   1.000   1.000
  108    20.0    25.0    13.9    0.00    0.00    0.00    0.00    0.00    4.84    4.18    0.04  221.63   1.529   1.000   1.000
  111    22.8    31.7    13.9    0.00    0.00    0.00    0.00    0.00    5.97    4.62    0.05  207.08   1.428   1.000   1.000
  114    26.0    30.6    16.1    0.00    0.00    0.00    0.00    0.00    6.83    4.74    0.06  193.89   1.337   0.894   1.000
  117    25.6    27.8     9.4    0.00    0.00    0.00    0.00    0.00    6.18    3.79    0.05  181.79   1.254   0.792   1.000
  120    25.7    32.2     8.9    0.00    0.00    0.00    0.00    0.00    6.51    3.52    0.04  170.38   1.175   0.697   1.000
  121    25.9    32.2    11.7    0.00    0.00    0.00    0.00    0.00    6.70    3.47    0.04  166.87   1.151   0.668   1.000
  123    23.9    32.8    14.4    0.00    0.00    0.00    0.00    0.00    6.35    3.01    0.05  160.32   1.106   0.613   1.000
  126    17.4    27.2    16.7    0.00    0.00    0.00    0.00    0.00    4.41    1.86    0.05  153.72   1.060   0.558   1.000
  129    13.7    27.8    18.3    1.00    0.00    0.00    1.00    0.00    3.54    1.35    0.05  149.19   1.029   0.520   1.000
  132    19.1    30.0    18.3    4.10    0.00    0.00    4.10    0.00    5.05    1.80    0.09  148.22   1.022   0.512   1.000
  135    21.3    28.9    19.4    0.00    0.00    0.00    0.00    0.00    5.61    2.39    0.16  155.78   1.074   0.575   1.000
  138    25.0    31.7    18.9    0.00    0.00    0.00    0.00    0.00    6.75    2.83    0.25  155.12   1.070   0.569   1.000
  141    14.0    31.1    20.6   25.40    0.00    0.00   25.40    0.00    3.79    2.44    0.28  220.90   1.523   1.000   1.000
  144    24.5    29.4    19.4    0.00    0.00    0.00    0.00    0.00    6.44    4.56    0.70  208.19   1.436   1.000   1.000
  147    19.2    28.9    17.2    4.60    0.00    0.00    4.60    0.00    4.92    2.95    0.64  199.22   1.374   0.938   1.000
  150    24.9    29.4    18.3    0.00    0.00    0.00    0.00    0.00    6.45    3.47    0.97  186.24   1.284   0.830   1.000
  153    24.9    35.0    21.1    0.00    0.00    0.00    0.00    0.00    6.97    3.16    1.08  173.58   1.197   0.724   1.000
  156    16.5    31.7    20.6    0.00    0.00    0.00    0.00    0.00    4.43    1.72    0.69  165.21   1.139   0.654   1.000
  159    25.7    32.2    17.2    0.00    0.00    0.00    0.00    0.00    6.76    2.31    1.07  157.20   1.084   0.587   1.000
  162    22.8    34.4    20.6    0.00    0.00    0.00    0.00    0.00    6.27    1.79    0.94  147.70   1.019   0.507   1.000
  165    13.7    30.0    21.1    4.80    0.00    0.00    4.80    0.00    3.60    0.88    0.52  146.75   1.012   0.500   1.000
  168    22.4    32.2    21.1    0.00    0.00    0.00    0.00    0.00    6.01    1.37    0.89  138.76   0.957   0.433   1.000
  171    19.3    35.0    22.2    0.00    0.00    0.00    0.00    0.00    5.36    1.05    0.74  133.04   0.917   0.385   1.000
  174    16.5    33.3    23.3    6.60    0.00    0.00    6.60    0.00    4.53    1.03    0.79  148.69   1.025   0.516   1.000
  177    17.0    33.3    23.3    6.30    0.00    0.00    6.30    0.00    4.66    1.02    0.86  148.46   1.024   0.514   1.000
  180    13.3    31.7    21.1    4.60    0.00    0.00    4.60    0.00    3.52    1.19    1.13  181.83   1.254   0.793   1.000
  183    19.3    33.9    23.3    5.10    0.00    0.00    5.10    0.00    5.29    1.57    1.74  175.55   1.211   0.740   1.000
  186    17.2    35.0    21.7    0.00    0.00    0.00    0.00    0.00    4.70    1.25    1.57  166.59   1.149   0.665   1.000
  189    21.6    34.4    21.7    0.50    0.00    0.00    0.50    0.00    5.85    1.30    1.81  156.76   1.081   0.583   1.000
  192    22.0    35.0    22.8    0.00    0.00    0.00    0.00    0.00    6.02    1.77    2.73  183.54   1.266   0.807   1.000
  195     9.2    31.1    22.2    3.80    0.00    0.00    3.80    0.00    2.40    0.57    0.98  176.19   1.215   0.746   1.000
  198    25.7    32.8    20.0    0.00    0.00    0.00    0.00    0.00    6.70    1.49    2.90  169.71   1.170   0.691   1.000
  201    19.0    32.8    22.8    0.50    0.00    0.00    0.50    0.00    5.04    0.95    2.06  163.51   1.128   0.640   1.000
  204    24.4    35.6    20.0    0.00    0.00    0.00    0.00    0.00    6.70    1.33    3.20  171.18   1.181   0.704   1.000
  207    22.0    33.9    21.7    1.00    0.00    0.00    1.00    0.00    5.83    1.12    3.00  176.26   1.216   0.746   1.000
  210    22.8    33.3    22.8    0.00    0.00    0.00    0.00    0.00    6.04    1.02    3.01  169.38   1.168   0.689   1.000
  213    21.2    33.3    21.1    2.50    0.00    0.00    2.50    0.00    5.53    0.79    2.58  164.82   1.137   0.651   1.000
  216    22.3    32.2    22.8   10.40    0.00    0.00   10.40    0.00    5.81    0.91    3.26  185.42   1.279   0.823   1.000
  219    24.4    35.6    24.4    0.00    0.00    0.00    0.00    0.00    6.82    0.99    3.92  173.80   1.199   0.726   1.000
  222    18.8    35.6    24.4   88.90    0.00    8.78   80.12    0.00    5.25    0.60    2.59  241.34   1.664   1.000   1.000
  225    12.9    30.0    22.8    0.00    0.00    0.00    0.00    0.00    3.27    0.70    2.55  239.05   1.649   1.000   1.000
  228    16.8    31.7    21.7    0.00    0.00    0.00    0.00    0.00    4.30    0.88    3.38  235.66   1.625   1.000   1.000
  231    19.3    33.9    22.2    0.00    0.00    0.00    0.00    0.00    5.07    0.93    3.99  219.48   1.514   1.000   1.000
  234    22.5    33.9    22.8    0.00    0.00    0.00    0.00    0.00    5.93    0.96    4.67  202.48   1.396   0.965   1.000
  237    21.4    35.0    22.2    0.00    0.00    0.00    0.00    0.00    5.68    0.79    3.90  186.75   1.288   0.834   1.000
  240    22.1    35.6    22.8    0.00    0.00    0.00    0.00    0.00    6.09    0.73    3.61  172.85   1.192   0.718   1.000
  243    21.4    34.4    22.2    0.00    0.00    0.00    0.00    0.00    5.65    0.60    2.97  163.27   1.126   0.638   1.000
  246     7.7    28.9    22.8    1.30    0.00    0.00    1.30    0.00    1.93    0.20    0.94  162.35   1.120   0.630   1.000
  249    11.2    32.2    22.2    2.00    0.00    0.00    2.00    0.00    2.89    0.29    1.34  158.67   1.094   0.599   1.000
  252    21.4    34.4    21.7    0.00    0.00    0.00    0.00    0.00    5.63    0.52    2.45  150.97   1.041   0.535   1.000
  255     7.8    31.7    22.2   46.70    0.00    0.12   46.58    0.00    2.00    0.17    0.79  193.13   1.332   0.887   1.000
  258    20.3    33.9    22.2    0.00    0.00    0.00    0.00    0.00    5.33    0.75    3.51  184.00   1.269   0.811   1.000
  261    16.5    32.8    20.6    0.50    0.00    0.00    0.50    0.00    4.24    0.52    2.45  173.33   1.195   0.722   1.000
  264    20.3    31.7    20.0    0.00    0.00    0.00    0.00    0.00    5.13    0.80    3.75  194.74   1.343   0.901   1.000
  267    20.8    30.0    15.6    0.00    0.00    0.00    0.00    0.00    5.01    0.79    3.31  186.95   1.289   0.835   1.000
  270    15.8    32.8    17.8    0.00    0.00    0.00    0.00    0.00    4.00    0.63    2.28  177.46   1.224   0.756   1.000
  273     6.5    30.0    22.2    3.30    0.00    0.00    3.30    0.00    1.65    0.24    0.86  175.10   1.208   0.736   1.000
  276    22.3    28.9    12.8    0.00    0.00    0.00    0.00    0.00    5.22    0.83    2.71  171.12   1.180   0.703   1.000
  279    20.7    27.8    11.7    0.00    0.00    0.00    0.00    0.00    4.75    0.73    2.11  161.83   1.116   0.626   1.000
  282    17.7    27.8    10.6    0.00    0.00    0.00    0.00    0.00    4.04    0.61    1.55  154.76   1.067   0.566   1.000
  285     6.9    25.0    19.4    0.00    0.00    0.00    0.00    0.00    1.64    0.26    0.56  152.05   1.049   0.544   1.000
  288    13.4    24.4     9.4    0.00    0.00    0.00    0.00    0.00    2.92    0.46    0.88  146.65   1.011   0.499   1.000
  291    19.9    29.4    15.0    0.00    0.00    0.00    0.00    0.00    4.84    0.75    1.25  140.73   0.971   0.449   1.000
  293    16.6    31.1    16.7    0.00    0.00    0.00    0.00    0.00    4.18    0.65    0.95  137.47   0.948   0.422   1.000
